,FKL05,FKL06,0
0,ACEH,SIMEULUE,457
1,ACEH,ACEH SINGKIL,387
2,ACEH,ACEH SELATAN,605
3,ACEH,ACEH TENGGARA,830
4,ACEH,ACEH TIMUR,532
5,ACEH,ACEH TENGAH,430
6,ACEH,ACEH BARAT,560
7,ACEH,ACEH BESAR,362
8,ACEH,PIDIE,1360
9,ACEH,BIREUEN,1138
10,ACEH,ACEH UTARA,85
11,ACEH,ACEH BARAT DAYA,623
12,ACEH,GAYO LUES,315
13,ACEH,ACEH TAMIANG,367
14,ACEH,NAGAN RAYA,428
15,ACEH,ACEH JAYA,239
16,ACEH,BENER MERIAH,225
17,ACEH,PIDIE JAYA,453
18,ACEH,KOTA BANDA ACEH,3786
19,ACEH,KOTA SABANG,359
20,ACEH,KOTA LANGSA,811
21,ACEH,KOTA LHOKSEUMAWE,1548
22,ACEH,KOTA SUBULUSSALAM,226
23,ACEH,NIAS,0
24,ACEH,MANDAILING NATAL,0
25,ACEH,TAPANULI SELATAN,0
26,ACEH,TAPANULI TENGAH,0
27,ACEH,TAPANULI UTARA,0
28,ACEH,TOBA SAMOSIR,0
29,ACEH,LABUHAN BATU,0
30,ACEH,ASAHAN,0
31,ACEH,SIMALUNGUN,0
32,ACEH,DAIRI,0
33,ACEH,KARO,0
34,ACEH,DELI SERDANG,0
35,ACEH,LANGKAT,0
36,ACEH,HUMBANG HASUNDUTAN,0
37,ACEH,PAKPAK BHARAT,0
38,ACEH,SAMOSIR,0
39,ACEH,SERDANG BEDAGAI,0
40,ACEH,BATU BARA,0
41,ACEH,PADANG LAWAS UTARA,0
42,ACEH,PADANG LAWAS,0
43,ACEH,LABUHAN BATU SELATAN,0
44,ACEH,LABUHAN BATU UTARA,0
45,ACEH,KOTA SIBOLGA,0
46,ACEH,KOTA TANJUNG BALAI,0
47,ACEH,KOTA PEMATANG SIANTAR,0
48,ACEH,KOTA TEBING TINGGI,0
49,ACEH,KOTA MEDAN,0
50,ACEH,KOTA BINJAI,0
51,ACEH,KOTA PADANGSIDIMPUAN,0
52,ACEH,KOTA GUNUNGSITOLI,0
53,ACEH,KEPULAUAN MENTAWAI,0
54,ACEH,PESISIR SELATAN,0
55,ACEH,SOLOK,0
56,ACEH,SIJUNJUNG,0
57,ACEH,TANAH DATAR,0
58,ACEH,PADANG PARIAMAN,0
59,ACEH,AGAM,0
60,ACEH,LIMA PULUH KOTA,0
61,ACEH,PASAMAN,0
62,ACEH,SOLOK SELATAN,0
63,ACEH,DHARMASRAYA,0
64,ACEH,PASAMAN BARAT,0
65,ACEH,KOTA PADANG,0
66,ACEH,KOTA SOLOK,0
67,ACEH,KOTA SAWAH LUNTO,0
68,ACEH,KOTA PADANG PANJANG,0
69,ACEH,KOTA BUKITTINGGI,0
70,ACEH,KOTA PAYAKUMBUH,0
71,ACEH,KOTA PARIAMAN,0
72,ACEH,KUANTAN SINGINGI,0
73,ACEH,INDRAGIRI HULU,0
74,ACEH,INDRAGIRI HILIR,0
75,ACEH,PELALAWAN,0
76,ACEH,SIAK,0
77,ACEH,KAMPAR,0
78,ACEH,ROKAN HULU,0
79,ACEH,BENGKALIS,0
80,ACEH,ROKAN HILIR,0
81,ACEH,KEPULAUAN MERANTI,0
82,ACEH,KOTA PEKANBARU,0
83,ACEH,KOTA DUMAI,0
84,ACEH,MERANGIN,0
85,ACEH,SAROLANGUN,0
86,ACEH,BATANG HARI,0
